"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"De'Andre Hunter","ATL","SF,PF DTD","13.4","3.7","1.4","0.4","0.8",".444",".786","1.6","69","31.7","1.4"
"T.J. Warren","BKN","SF,PF","13.2","3.1","1.1","0.3","0.8",".517",".807","0.9","62","22.9","0.8"
"Will Barton","WAS","SG,SF","13.2","4.3","3.4","0.3","0.8",".431",".788","1.9","72","29.4","1.7"
"Seth Curry","BKN","PG,SG DTD","13.1","2.7","3.0","0.2","0.7",".484",".851","2.3","70","28.6","1.5"
"Markelle Fultz","ORL","PG,SG DTD","13.0","3.1","5.4","0.3","1.2",".466",".800","0.5","65","28.3","2.4"
"Marcus Smart","BOS","PG,SG DTD","12.8","3.8","5.3","0.3","1.6",".418",".812","1.9","71","31.5","2.2"
"Cameron Johnson","PHO","SF,PF","12.7","4.1","1.5","0.2","0.9",".452",".815","2.6","70","27.1","0.8"
"Kevin Love","CLE","PF,C","12.7","7.9","2.1","0.2","0.4",".417",".832","2.3","66","23.1","1.5"
"Bones Hyland","DEN","PG,SG","12.7","3.1","3.6","0.4","0.7",".418",".859","2.4","73","23.9","1.6"
"Monte Morris","WAS","PG,SG","12.6","2.9","5.8","0.2","0.8",".474",".873","1.6","74","30.2","1.1"
"P.J. Washington","CHA","PF,C","12.6","6.2","2.6","1.1","1.0",".460",".724","1.8","72","30.8","1.7"
"Josh Hart","POR","SG,SF DTD","12.5","5.9","3.2","0.3","1.0",".468",".788","1.4","69","30.2","1.9"
"Doug McDermott","SAS","SF,PF DTD","12.5","2.9","1.4","0.1","0.3",".472",".796","2.2","68","25.8","1.2"
"Evan Fournier","NYK","SG,SF","12.4","2.7","2.1","0.3","0.9",".415",".721","2.5","72","24.9","1.3"
"Kevin Huerter","SAC","SG,SF","12.3","3.4","2.9","0.4","0.8",".442",".828","2.2","74","30.0","1.2"
"Kendrick Nunn","LAL","PG,SG","12.3","2.2","2.3","0.3","0.8",".463",".872","1.9","65","25.4","1.1"
"Kentavious Caldwell-Pope","DEN","PG,SG,SF","12.3","3.1","1.9","0.3","1.0",".438",".903","1.9","77","29.4","1.2"
"Rui Hachimura","WAS","SF,PF","12.2","4.2","1.3","0.2","0.6",".473",".738","1.0","72","26.3","1.0"
"Brandon Clarke","MEM","SF,PF,C","12.2","6.5","1.5","1.2","0.8",".609",".670","0.2","70","25.3","0.7"
"Marcus Morris Sr.","LAC","PF,C,SF","12.1","4.5","1.4","0.3","0.6",".437",".818","1.8","66","25.9","1.3"
"Jonathan Kuminga","GSW","SF,PF","12.1","4.6","1.2","0.4","0.6",".499",".693","0.9","71","23.1","1.4"
"Kelly Olynyk","DET","PF,C","12.0","6.0","3.6","0.6","1.1",".475",".771","1.2","70","25.8","2.0"
"Brook Lopez","MIL","C","11.9","4.6","0.8","1.4","0.6",".478",".867","1.4","67","25.4","1.0"
"Immanuel Quickley","NYK","PG","11.9","3.2","3.6","0.0","0.7",".410",".879","1.7","77","23.2","1.5"
"Tre Jones","SAS","PG DTD","11.8","3.4","6.5","0.1","1.0",".477",".807","0.6","72","30.0","1.3"
"Joe Harris","BKN","SG,SF","11.7","3.3","1.5","0.2","0.6",".472",".788","2.5","64","27.7","1.0"
"Darius Bazley","OKC","SF,PF OUT","11.7","6.5","1.5","0.9","0.8",".423",".688","1.3","72","28.6","1.5"
"Lonnie Walker IV","LAL","SG,SF","11.5","2.6","1.8","0.3","0.6",".430",".778","1.6","72","23.1","1.1"
"Lonzo Ball","CHI","PG,SG OUT","11.5","4.6","4.9","0.6","1.5",".418",".773","2.6","54","31.5","2.2"
"Jae'Sean Tate","HOU","SF,PF DTD","11.5","5.3","2.7","0.5","1.0",".486",".700","0.9","77","26.2","1.7"
"Malik Monk","SAC","PG,SG","11.4","3.2","2.6","0.3","0.8",".455",".723","2.0","75","23.8","1.6"
"Eric Gordon","HOU","SG,SF DTD","11.4","2.1","2.4","0.3","0.6",".444",".780","1.9","64","25.0","1.3"
"Montrezl Harrell","PHI","PF,C","11.4","5.2","1.2","0.7","0.4",".605",".721","0.2","72","19.7","1.0"
"Derrick White","BOS","PG,SG","11.3","3.1","3.7","0.7","0.8",".426",".859","1.4","73","26.2","1.4"
"Grayson Allen","MIL","SG,SF DTD","11.3","3.4","1.5","0.3","0.7",".444",".889","2.4","70","26.9","0.7"
"Dorian Finney-Smith","DAL","SF,PF","11.2","4.7","1.8","0.5","1.0",".467",".727","2.2","77","32.3","0.9"
"Max Strus","MIA","SG,SF DTD","11.1","3.0","1.4","0.2","0.4",".435",".800","2.9","74","24.9","0.9"
"Clint Capela","ATL","C DTD","11.1","11.3","1.1","1.3","0.7",".612",".506","0.0","70","26.9","0.7"
"Derrick Rose","NYK","PG,SG","11.1","2.9","3.6","0.3","0.8",".445",".873","1.2","50","21.5","1.2"
"Jaden McDaniels","MIN","PF,SF","11.0","4.6","1.3","1.0","0.8",".459",".791","1.4","72","29.4","1.2"
"Cameron Payne","PHO","PG,SG","10.8","3.1","4.9","0.3","0.7",".420",".812","1.3","67","22.3","1.7"
"Chris Boucher","TOR","PF,C","10.8","7.8","0.5","1.2","0.5",".478",".780","0.9","71","21.6","0.6"
"Ivica Zubac","LAC","C DTD","10.8","8.9","1.6","1.1","0.5",".637",".750","0.0","76","26.3","1.6"
"Tre Mann","OKC","SG,PG","10.6","1.5","1.3","0.2","0.7",".392",".797","1.8","68","22.7","1.0"
"Coby White","CHI","PG,SG","10.5","2.5","2.5","0.2","0.5",".429",".887","1.9","68","22.8","1.2"
